,Coef.,Std.Err.,z,P>|z|
num_overlaps,0.03333634060394837,0.020493265227577183,1.6266973678303172,0.10380138806961506
conflict_resolution_latency,-0.0006031651522077309,0.00037595959142495153,-1.604335056120343,0.10864021781658921
num_offer_constructive_criticism,0.10151024954727389,0.07216563690950926,1.406628610159164,0.15953754479295412
idea_agree_decision_chain_duration,-0.011087183466597346,0.008272796849602618,-1.340197718880274,0.18018107303689923
avg_nods_per_utterance,1.7721605338380744,1.4799058272334644,1.1974819621806279,0.23111875404518167
gesture_count_ratio,1.9925480011516397,1.6640136837339117,1.1974348652473359,0.2311371009926365
decision_lag,0.00025350396904393687,0.0002239202401209437,1.132117261516933,0.25758513871332345
num_provide_supporting_evidence,0.021694774105222088,0.01942990679234992,1.116566041056044,0.2641799182471899
avg_distraction_per_utterance,5.112881355997196,4.893688818859742,1.0447908613013377,0.2961196395190945
screenshare_count,0.015034010504622067,0.01654109063334222,0.9088887086029079,0.3634088746064905
