,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-1.5696648866050753,0.7069189977193139,-2.2204310418438062,0.026389521832198445,-2.955200662122083,-0.1841291110880674
num_provide_supporting_evidence,-0.0359226167465226,0.03347701300316309,-1.0730532244059061,0.28324723633733384,-0.10153635654270132,0.029691123049656126
num_express_agreement,0.011549995182325409,0.018204359037885524,0.6344631611741144,0.5257786010052173,-0.024129892893566447,0.04722988325821727
num_explain_define_term,0.02237723135323364,0.024610612612440828,0.9092512935627536,0.3632174941564711,-0.02585868300461759,0.07061314571108487
num_offer_constructive_criticism,0.10058975481469365,0.1187133269285094,0.8473332979309898,0.39680937180630393,-0.13208409045011374,0.33326360007950107
num_express_alternative_decision,-0.12035975354913334,0.2106573609583941,-0.5713531822555443,0.5677602582291239,-0.5332405941058399,0.2925210870075732
avg_nods_per_utterance,-1.4112640795796163,3.136777699114567,-0.4499088602861403,0.6527761585717766,-7.559235397352586,4.736707238193354
avg_distraction_per_utterance,-22.414651291364557,25.81930667068694,-0.8681352902792024,0.3853202737516015,-73.01956247170574,28.19025988897662
gesture_count_ratio,5.734873957896099,2.8179970114481474,2.0350887295473,0.04184194581597878,0.21170130691622369,11.258046608875974
num_overlaps,0.03806435565625098,0.03180630490628674,1.196755038612715,0.23140204759636107,-0.024274856441370653,0.1004035677538726
decision_lag,0.0004057464817528311,0.0003837302615336724,1.0573742089851488,0.2903408373836943,-0.00034635101063130254,0.0011578439741369646
idea_agree_decision_chain_duration,-0.3337178475384474,0.16743114420943356,-1.9931647072841587,0.0462434143267344,-0.6618768600792693,-0.005558834997625606
burstiness_of_ideas,-0.39446680551337177,0.45939844203546765,-0.8586594324647647,0.3905284381690486,-1.2948712064566998,0.5059375954299564
conflict_resolution_latency,-0.0007038416815664818,0.00056845383061757,-1.2381685963868447,0.2156535531172984,-0.0018179907164507512,0.0004103073533177875
screenshare_count,0.014876935416031,0.026113423662942007,0.569704517035164,0.5688781258828395,-0.03630443447637135,0.06605830530843335
screenshare_decision_overlap,-0.6877161345408283,2.7280968710049165,-0.2520864056735282,0.8009742774259595,-6.034687748046879,4.659255478965222
