session,actual_funded_teams,predicted_funded_teams
2021_05_20_ABI_S5,0,0.03839408244358785
2021_05_20_ABI_S4,2,1.5704602482101397
2021_05_21_ABI_S16,0,0.49536011620505577
2021_05_21_ABI_S1,2,0.7997445519515882
2021_05_20_ABI_S8,0,0.8253135916512289
2021_05_21_ABI_S11,3,0.7404922581507515
2021_05_20_ABI_S3,1,0.6558876583668529
2021_05_21_ABI_S6,0,0.5829272003115511
2021_05_21_ABI_S7,2,1.4499859427853252
2021_05_20_ABI_S2,0,0.2489809361804199
2021_05_21_ABI_S10,0,0.47243323364700035
2021_05_21_ABI_S8,0,0.7161855442607888
2021_05_20_ABI_S1,0,0.519942247909436
2021_05_21_ABI_S13,0,0.22207566291949452
2021_05_21_ABI_S4,0,0.4800843315720582
2021_05_21_ABI_S5,0,0.4785327422284543
2021_05_21_ABI_S12,1,1.2118324420473463
2021_05_21_ABI_S9,0,0.425177319819164
2021_05_21_ABI_S2,0,0.5192735082514718
2021_05_20_ABI_S7,1,1.84897948511979
2021_05_21_ABI_S15,1,0.413497246569801
2021_05_21_ABI_S14,1,0.27432018122237006
2021_05_20_ABI_S6,1,0.9850276287908408
2021_05_21_ABI_S3,0,0.6131791411623945
2021_04_22_MND_S5,0,0.7928140045551882
2021_04_22_MND_S4,1,0.7307584438427676
2021_04_23_MND_S1,0,3.369315666209573e-12
2021_04_22_MND_S8,0,1.0308176214935638
2021_04_23_MND_S16,0,0.22938705668187828
2021_04_22_MND_S3,0,0.7872277367477534
2021_04_23_MND_S11,1,0.22603457700626717
2021_04_23_MND_S6,0,0.28306994792523155
2021_04_23_MND_S7,0,0.918355215793107
2021_04_23_MND_S10,0,0.34296289289446086
2021_04_22_MND_S2,0,0.21282444494464794
2021_04_23_MND_S8,0,0.3615376444746352
2021_04_22_MND_S1,1,0.44958469911231863
2021_04_23_MND_S4,0,5.0029675625244283e-29
2021_04_23_MND_S13,0,0.5663907872273035
2021_04_23_MND_S12,0,0.936765798530091
2021_04_23_MND_S5,1,0.39906511226856145
2021_04_23_MND_S9,0,0.19347125499234394
2021_04_23_MND_S2,1,0.4048456488471228
2021_04_23_MND_S15,0,0.5959495831120077
2021_04_22_MND_S7,0,0.41868220586434474
2021_04_22_MND_S6,0,4.557918234509495e-05
2021_04_23_MND_S14,0,0.35376543841675334
2021_04_23_MND_S3,0,0.5919962047791575
2021_10_01_MZT_S11,2,0.6714479128958071
2021_10_01_MZT_S2,0,0.3992074958409654
2021_09_30_MZT_S3,0,1.288707181705098e-05
2021_09_30_MZT_S2,2,0.6562517560471912
2021_10_01_MZT_S3,2,0.691448266992651
2021_09_30_MZT_S5,1,0.5997597565257909
2021_10_01_MZT_S8,0,0.658775359176927
2021_10_01_MZT_S4,1,1.433684768788683
2021_10_01_MZT_S5,0,0.2081149127675226
2021_10_01_MZT_S9,0,0.426715688022332
2021_09_30_MZT_S4,0,0.3731398924358906
2021_09_30_MZT_S7,6,2.5700319918113412
2021_10_01_MZT_S7,2,0.5671883100308517
2021_09_30_MZT_S6,1,0.38337581298204754
2021_10_01_MZT_S1,0,3.2411000260349923e-09
2021_06_11_SLU_S1,1,0.569551580341877
2021_06_11_SLU_S10,0,0.5141360785096089
2021_06_10_SLU_S4,2,0.2923825343593547
2021_06_10_SLU_S5,1,0.28616631112132607
2021_06_11_SLU_S11,1,0.28489910487050785
2021_06_10_SLU_S2,1,1.1000771413652548
2021_06_11_SLU_S7,1,0.485759088752713
2021_06_11_SLU_S6,0,0.708531884570946
2021_06_10_SLU_S3,0,3.9778576856112204e-15
2021_06_11_SLU_S9,0,1.0073538026208833
2021_06_11_SLU_S5,0,1.101423139568347
2021_06_11_SLU_S4,1,1.0558040839104101
2021_06_11_SLU_S8,2,0.27557132591498057
2021_06_10_SLU_S1,1,1.253947163256626
2021_06_11_SLU_S12,0,0.2924037289883543
2021_06_11_SLU_S3,1,1.352519503918639
2021_06_10_SLU_S6,0,0.27794061295903716
2021_06_10_SLU_S7,0,0.36646774830048545
2021_06_11_SLU_S2,0,0.3307545025940353
2021_06_11_SLU_S13,0,0.3907251172423636
