conference,session,total_new_ideas,total_explanations,total_decisions,num_speakers
2021ABI,2021_05_20_ABI_S1,16,15,11,11
2021ABI,2021_05_20_ABI_S2,34,53,26,12
2021ABI,2021_05_20_ABI_S3,22,34,12,19
2021ABI,2021_05_20_ABI_S4,24,49,25,15
2021ABI,2021_05_20_ABI_S5,19,40,18,13
2021ABI,2021_05_20_ABI_S6,31,28,19,16
2021ABI,2021_05_20_ABI_S7,30,48,13,15
2021ABI,2021_05_20_ABI_S8,15,39,18,42
2021ABI,2021_05_21_ABI_S1,29,37,24,15
2021ABI,2021_05_21_ABI_S10,16,34,14,10
2021ABI,2021_05_21_ABI_S11,17,34,14,12
2021ABI,2021_05_21_ABI_S12,34,39,11,12
2021ABI,2021_05_21_ABI_S13,31,33,18,12
2021ABI,2021_05_21_ABI_S14,22,32,22,17
2021ABI,2021_05_21_ABI_S15,22,51,10,12
2021ABI,2021_05_21_ABI_S16,17,34,20,24
2021ABI,2021_05_21_ABI_S2,33,38,15,19
2021ABI,2021_05_21_ABI_S3,15,41,15,11
2021ABI,2021_05_21_ABI_S4,36,43,19,13
2021ABI,2021_05_21_ABI_S5,32,27,19,14
2021ABI,2021_05_21_ABI_S6,29,46,19,14
2021ABI,2021_05_21_ABI_S7,27,28,12,13
2021ABI,2021_05_21_ABI_S8,31,40,18,13
2021ABI,2021_05_21_ABI_S9,31,32,16,20
2021MND,2021_04_22_MND_S1,18,25,26,15
2021MND,2021_04_22_MND_S2,0,1,0,1
2021MND,2021_04_22_MND_S3,19,24,25,10
2021MND,2021_04_22_MND_S4,28,33,16,16
2021MND,2021_04_22_MND_S5,31,38,17,57
2021MND,2021_04_22_MND_S6,28,26,18,16
2021MND,2021_04_22_MND_S7,29,17,20,12
2021MND,2021_04_22_MND_S8,10,16,3,7
2021MND,2021_04_23_MND_S1,19,42,26,12
2021MND,2021_04_23_MND_S10,19,40,14,16
2021MND,2021_04_23_MND_S11,20,24,21,9
2021MND,2021_04_23_MND_S12,20,41,7,11
2021MND,2021_04_23_MND_S13,17,26,12,14
2021MND,2021_04_23_MND_S14,15,24,23,28
2021MND,2021_04_23_MND_S15,17,34,20,19
2021MND,2021_04_23_MND_S16,7,17,3,13
2021MND,2021_04_23_MND_S2,15,28,18,16
2021MND,2021_04_23_MND_S3,19,21,4,13
2021MND,2021_04_23_MND_S4,10,12,4,7
2021MND,2021_04_23_MND_S5,18,28,19,14
2021MND,2021_04_23_MND_S6,18,32,17,37
2021MND,2021_04_23_MND_S7,17,27,13,11
2021MND,2021_04_23_MND_S8,18,35,7,9
2021MND,2021_04_23_MND_S9,6,12,0,11
2021MZT,2021_09_30_MZT_S2,25,15,3,11
2021MZT,2021_09_30_MZT_S3,10,25,14,12
2021MZT,2021_09_30_MZT_S4,21,11,14,11
2021MZT,2021_09_30_MZT_S5,24,21,22,9
2021MZT,2021_09_30_MZT_S6,2,9,3,7
2021MZT,2021_09_30_MZT_S7,48,52,29,27
2021MZT,2021_10_01_MZT_S1,13,21,28,11
2021MZT,2021_10_01_MZT_S11,19,21,12,8
2021MZT,2021_10_01_MZT_S2,20,21,18,12
2021MZT,2021_10_01_MZT_S3,35,43,15,24
2021MZT,2021_10_01_MZT_S4,27,35,16,19
2021MZT,2021_10_01_MZT_S7,29,30,16,12
2021MZT,2021_10_01_MZT_S8,20,25,11,10
2021MZT,2021_10_01_MZT_S9,25,23,19,16
2021SLU,2021_06_10_SLU_S1,18,23,16,18
2021SLU,2021_06_10_SLU_S2,20,34,25,11
2021SLU,2021_06_10_SLU_S3,34,23,22,12
2021SLU,2021_06_10_SLU_S4,26,34,27,13
2021SLU,2021_06_10_SLU_S5,24,36,25,11
2021SLU,2021_06_10_SLU_S6,27,36,16,13
2021SLU,2021_06_10_SLU_S7,22,30,18,14
2021SLU,2021_06_11_SLU_S1,22,34,21,15
2021SLU,2021_06_11_SLU_S10,34,43,11,10
2021SLU,2021_06_11_SLU_S11,22,24,18,12
2021SLU,2021_06_11_SLU_S12,27,32,16,9
2021SLU,2021_06_11_SLU_S13,25,36,18,11
2021SLU,2021_06_11_SLU_S2,25,32,15,13
2021SLU,2021_06_11_SLU_S3,19,37,8,11
2021SLU,2021_06_11_SLU_S4,30,25,20,11
2021SLU,2021_06_11_SLU_S5,24,36,9,12
2021SLU,2021_06_11_SLU_S6,33,29,19,10
2021SLU,2021_06_11_SLU_S7,18,22,11,11
2021SLU,2021_06_11_SLU_S8,35,36,13,11
2021SLU,2021_06_11_SLU_S9,39,36,11,9
