source,target,weight
340,356,-0.14047735929489136
125,136,-0.12772688269615173
372,381,-0.11800242960453033
191,199,-0.11143563687801361
109,129,-0.11091223359107971
16,21,-0.09525296092033386
292,304,-0.09423509240150452
321,333,-0.09407529979944229
369,381,-0.09354130923748016
342,356,-0.09311437606811523
337,354,-0.0919630229473114
37,40,-0.08974448591470718
151,153,-0.08960144966840744
84,90,-0.08800442516803741
193,198,-0.08714538812637329
342,353,-0.0866035670042038
381,389,-0.0865352600812912
108,125,-0.08535515516996384
346,354,-0.0839562863111496
416,431,-0.08393054455518723
251,267,-0.08280622214078903
346,355,-0.08210179954767227
198,207,-0.08197873085737228
394,406,-0.0803428515791893
13,22,-0.07968518137931824
